Log Name: DT
Description: Delta-T {F13.4}
Type: Sonic
Curve UOM: US/F
Depth UOM: Meters
Source: <SeisWare.seisware_sdk_311.ID; proxy of <Swig Object of type 'SeisWare::UserKey *' at 0x000001BC29537780> >
Null Value: -999.2500
Top Depth: 1308.0492
Base Depth: 1758.0864
Depth Increment: 0.1524
Depth,Value
1308.0492,49.1608
1308.2016,49.1608
1308.3540,49.1608
1308.5064,49.1608
1308.6588,49.1608
1308.8112,49.1608
1308.9636,49.7177
1309.1160,49.8404
1309.2684,49.7283
1309.4208,50.2406
1309.5732,49.2670
1309.7256,49.8038
1309.8780,49.6903
1310.0304,49.8294
1310.1828,49.4992
1310.3352,49.9062
1310.4876,51.6850
1310.6400,74.0800
1310.7924,65.3200
1310.9448,54.2464
1311.0972,49.7104
1311.2496,54.2108
1311.4020,46.7648
1311.5544,56.5565
1311.7068,64.3171
1311.8592,73.1458
1312.0116,71.0932
1312.1640,78.3677
1312.3164,78.6275
1312.4688,85.9786
1312.6212,79.2633
1312.7736,94.3201
1312.9260,73.3059
1313.0784,75.9029
1313.2308,66.0084
1313.3832,65.1720
1313.5356,60.5710
1313.6880,65.7498
1313.8404,45.9995
1313.9928,42.3779
1314.1452,40.5624
1314.2976,53.9001
1314.4500,48.1702
1314.6024,48.8767
1314.7548,50.0890
1314.9072,48.8798
1315.0596,53.1208
1315.2120,54.0658
1315.3644,54.4423
1315.5168,54.3832
1315.6692,54.1706
1315.8216,54.1828
1315.9740,54.0161
1316.1264,53.9308
1316.2788,54.4956
1316.4312,59.7077
1316.5836,77.4708
1316.7360,68.7793
1316.8884,78.1536
1317.0408,84.1274
1317.1932,65.8250
1317.3456,67.2493
1317.4980,72.8826
1317.6504,89.0114
1317.8028,71.2096
1317.9552,77.5366
1318.1076,86.5644
1318.2600,82.7833
1318.4124,84.3086
1318.5648,84.2285
1318.7172,123.0061
1318.8696,123.7224
1319.0220,121.5009
1319.1744,82.4937
1319.3268,77.5084
1319.4792,74.2266
1319.6316,73.7403
1319.7840,76.3994
1319.9364,78.0680
1320.0888,78.5061
1320.2412,78.6204
1320.3936,78.8553
1320.5460,78.2727
1320.6984,79.9968
1320.8508,81.8954
1321.0032,83.3774
1321.1556,85.2529
1321.3080,85.7265
1321.4604,85.5816
1321.6128,85.9929
1321.7652,86.3850
1321.9176,86.6778
1322.0700,86.6842
1322.2224,85.9356
1322.3748,84.9457
1322.5272,84.0736
1322.6796,84.1292
1322.8320,84.7362
1322.9844,85.2115
1323.1368,85.4533
1323.2892,85.4087
1323.4416,85.4439
1323.5940,86.1882
1323.7464,87.1713
1323.8988,87.6583
1324.0512,89.4733
1324.2036,89.8986
1324.3560,89.4855
1324.5084,89.5312
1324.6608,87.9917
1324.8132,87.5323
1324.9656,87.6113
1325.1180,87.4019
1325.2704,87.3979
1325.4228,86.8484
1325.5752,86.5354
1325.7276,86.2219
1325.8800,86.0067
1326.0324,86.3626
1326.1848,86.3652
1326.3372,86.0688
1326.4896,84.9296
1326.6420,84.3700
1326.7944,83.6748
1326.9468,83.9965
1327.0992,85.0799
1327.2516,85.0531
1327.4040,84.7643
1327.5564,84.4319
1327.7088,84.2331
1327.8612,84.6224
1328.0136,85.4570
1328.1660,85.7087
1328.3184,85.2322
1328.4708,84.6136
1328.6232,84.2779
1328.7756,83.6396
1328.9280,83.7097
1329.0804,83.8250
1329.2328,83.5551
1329.3852,83.5898
1329.5376,83.9387
1329.6900,83.8494
1329.8424,83.8537
1329.9948,84.0499
1330.1472,84.2766
1330.2996,84.8006
1330.4520,84.6392
1330.6044,84.6789
1330.7568,84.4764
1330.9092,83.4279
1331.0616,82.3912
1331.2140,81.6178
1331.3664,80.6514
1331.5188,79.2688
1331.6712,77.8473
1331.8236,76.3837
1331.9760,73.6765
1332.1284,72.3582
1332.2808,72.3926
1332.4332,75.8792
1332.5856,75.6900
1332.7380,75.6867
1332.8904,75.3445
1333.0428,72.0058
1333.1952,67.2494
1333.3476,64.6818
1333.5000,64.5408
1333.6524,64.5202
1333.8048,64.1198
1333.9572,64.4147
1334.1096,63.5451
1334.2620,63.5337
1334.4144,62.6374
1334.5668,60.9937
1334.7192,59.3721
1334.8716,58.2613
1335.0240,58.3685
1335.1764,58.1766
1335.3288,58.0076
1335.4812,58.2787
1335.6336,57.8533
1335.7860,59.1289
1335.9384,61.0200
1336.0908,61.4086
1336.2432,62.0030
1336.3956,62.2045
1336.5480,62.2035
1336.7004,62.4952
1336.8528,62.7368
1337.0052,61.9322
1337.1576,61.4519
1337.3100,60.8028
1337.4624,60.8522
1337.6148,62.1698
1337.7672,62.4757
1337.9196,62.9778
1338.0720,63.2482
1338.2244,63.4312
1338.3768,63.9135
1338.5292,57.7541
1338.6816,66.9447
1338.8340,68.2180
1338.9864,69.7161
1339.1388,69.3861
1339.2912,69.4543
1339.4436,71.4952
1339.5960,72.9440
1339.7484,75.4275
1339.9008,75.8304
1340.0532,75.5545
1340.2056,75.8083
1340.3580,76.2888
1340.5104,77.0785
1340.6628,76.8109
1340.8152,75.3222
1340.9676,74.3715
1341.1200,74.0933
1341.2724,75.5692
1341.4248,76.1382
1341.5772,77.2920
1341.7296,78.0922
1341.8820,77.5816
1342.0344,78.8998
1342.1868,78.1327
1342.3392,77.8109
1342.4916,74.8184
1342.6440,72.5157
1342.7964,70.4336
1342.9488,68.2706
1343.1012,68.0434
1343.2536,68.1252
1343.4060,68.2430
1343.5584,68.5847
1343.7108,68.8224
1343.8632,69.7297
1344.0156,71.7778
1344.1680,74.8797
1344.3204,77.8518
1344.4728,79.2095
1344.6252,79.3682
1344.7776,78.6767
1344.9300,78.0465
1345.0824,77.3776
1345.2348,76.7227
1345.3872,76.4930
1345.5396,77.0532
1345.6920,78.5733
1345.8444,79.0008
1345.9968,79.3949
1346.1492,78.6872
1346.3016,77.7748
1346.4540,78.5633
1346.6064,79.0219
1346.7588,80.2483
1346.9112,80.2256
1347.0636,77.2823
1347.2160,75.7650
1347.3684,74.1622
1347.5208,73.4438
1347.6732,76.4437
1347.8256,78.0715
1347.9780,79.1740
1348.1304,79.8603
1348.2828,79.6598
1348.4352,79.2399
1348.5876,79.2633
1348.7400,79.7472
1348.8924,79.6076
1349.0448,79.0473
1349.1972,78.8642
1349.3496,78.9063
1349.5020,79.5977
1349.6544,80.2328
1349.8068,80.3900
1349.9592,80.7731
1350.1116,79.9459
1350.2640,78.0995
1350.4164,77.5856
1350.5688,77.6295
1350.7212,78.3822
1350.8736,79.0600
1351.0260,79.3315
1351.1784,79.4628
1351.3308,79.7599
1351.4832,79.5182
1351.6356,78.5288
1351.7880,78.0623
1351.9404,77.4227
1352.0928,76.7511
1352.2452,76.4235
1352.3976,76.1082
1352.5500,75.5942
1352.7024,75.8034
1352.8548,76.2627
1353.0072,77.1835
1353.1596,77.7751
1353.3120,78.3627
1353.4644,79.5288
1353.6168,80.3826
1353.7692,81.6027
1353.9216,82.7612
1354.0740,82.3931
1354.2264,80.9669
1354.3788,79.6477
1354.5312,78.0419
1354.6836,75.9787
1354.8360,75.4839
1354.9884,75.5923
1355.1408,75.9699
1355.2932,77.0436
1355.4456,76.9208
1355.5980,76.7470
1355.7504,76.2551
1355.9028,75.8447
1356.0552,76.1989
1356.2076,76.3798
1356.3600,77.1416
1356.5124,78.4576
1356.6648,79.8470
1356.8172,80.9068
1356.9696,81.6276
1357.1220,81.8585
1357.2744,81.9805
1357.4268,82.2277
